,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level_real,risk_level_lbpr,risk_level_lbsp,risk_level_mlp,risk_level_ran,risk_level_gbc,voting
17678,0.3333333333333335,0.7751937984496124,0.6580557443915703,0.6162079510703364,0.0987983978638184,0.4193548387096775,0.2399598393574297,0.7903225806451614,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0236220472440944,0.5,0.0588235294117647,3,3,3,3,2,3,3.0
2619,0.3333333333333335,0.3643410852713178,0.3861318830727396,0.7262996941896025,0.9532710280373832,0.5483870967741935,0.2640562248995984,0.2258064516129031,0.0333333333333333,0.9999999999999998,0.1958333333333333,0.1456692913385826,1.0,0.0588235294117647,2,1,1,1,2,2,1.0
6732,0.0,0.1550387596899224,0.2016768638114661,0.5428134556574924,0.1468624833110814,0.7096774193548385,0.2319277108433735,0.2741935483870968,0.0,0.9999999999999998,0.0,0.374015748031496,0.5,0.3529411764705882,1,1,1,1,1,2,1.0
16837,0.3333333333333335,0.4806201550387596,0.4058463630183548,0.6712538226299695,0.3818424566088117,0.4516129032258065,0.7128514056224899,0.8064516129032259,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.2086614173228346,0.5,0.1176470588235294,2,2,2,2,3,3,2.0
17021,0.3333333333333335,0.3333333333333333,0.283480625424881,0.6529051987767585,0.0467289719626168,0.4193548387096775,0.2279116465863453,0.5806451612903226,0.0666666666666666,0.3720930232558138,1.0,0.0393700787401574,0.75,0.0,2,2,2,2,2,2,2.0
22046,0.8333333333333335,0.8837209302325582,0.7353274416496715,0.6529051987767585,0.9265687583444592,0.4193548387096775,0.964859437751004,0.4354838709677419,0.0666666666666666,0.1860465116279069,0.3999999999999999,0.0708661417322834,1.0,0.0,3,3,3,3,3,3,3.0
22516,1.0,0.7286821705426356,0.6106956718785407,0.7339449541284404,0.0841121495327102,0.4516129032258065,0.2048192771084337,0.3870967741935484,0.0666666666666666,0.3720930232558138,0.0,0.0275590551181102,1.0,0.0,1,1,1,1,1,1,1.0
20081,0.8333333333333335,0.6356589147286822,0.6748243825062316,0.6880733944954129,0.7957276368491322,0.5161290322580645,0.9056224899598394,0.3709677419354839,1.0,0.3720930232558138,0.0,0.0196850393700787,0.25,0.0,2,2,1,2,2,1,2.0
6514,0.0,0.3643410852713178,0.533197371402674,0.6039755351681958,0.2149532710280373,0.4193548387096775,0.180722891566265,0.3064516129032258,0.0,0.9999999999999998,0.0,0.2204724409448819,0.5,0.1764705882352941,1,1,1,1,1,1,1.0
7901,0.0,0.0,0.2032630863358259,0.6162079510703364,0.1522029372496662,0.5806451612903225,0.2479919678714859,0.2258064516129031,0.0,0.9999999999999998,0.0,0.2716535433070866,0.5,0.2352941176470588,1,1,1,1,1,1,1.0
3950,0.3333333333333335,0.0,0.291638341264446,0.5290519877675841,0.1522029372496662,0.5483870967741935,0.2640562248995984,0.1451612903225806,0.0333333333333333,0.9999999999999998,0.1958333333333333,0.1850393700787401,0.0,0.1176470588235294,2,2,2,2,2,2,2.0
18201,0.3333333333333335,0.0,0.1765239066394743,0.6529051987767585,0.0307076101468624,0.5161290322580645,0.28714859437751,0.4354838709677419,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0472440944881889,0.5,0.1176470588235294,2,1,2,2,2,2,2.0
16400,0.3333333333333335,0.7441860465116279,0.6238386585089508,0.591743119266055,0.089452603471295,0.4838709677419355,0.2399598393574297,0.7741935483870966,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0157480314960629,1.0,0.0,2,2,2,2,2,2,2.0
19376,0.8333333333333335,0.5116279069767442,0.5436211194198958,0.617737003058104,0.2923898531375167,0.5161290322580645,0.7720883534136547,0.5161290322580646,0.0666666666666666,0.2480620155038759,0.1999999999999999,0.7322834645669292,0.25,0.4117647058823529,3,3,3,3,3,3,3.0
6286,0.0,0.5038759689922481,0.4230682075685474,0.6529051987767585,0.1829105473965287,0.6129032258064515,0.1656626506024096,0.2741935483870968,0.0,0.9999999999999998,0.0,0.0866141732283464,0.5,0.0,1,1,1,1,1,1,1.0
17103,0.3333333333333335,0.3720930232558139,0.5123498753682303,0.761467889908257,0.5594125500667557,0.4193548387096775,0.9176706827309238,0.7741935483870966,0.0666666666666666,0.3720930232558138,1.0,0.3307086614173228,0.5,0.1176470588235294,3,2,3,3,3,3,3.0
5290,0.3333333333333335,0.8217054263565892,0.6879673691366418,0.691131498470948,0.2456608811748998,0.5483870967741935,0.2640562248995984,0.0645161290322581,0.0333333333333333,0.9999999999999998,0.1958333333333333,0.0236220472440944,1.0,0.0,2,2,2,2,1,3,2.0
10790,0.1666666666666669,0.0,0.0,0.6529051987767585,0.2296395193591455,0.5483870967741935,0.0,0.3225806451612903,0.0,0.9999999999999998,0.0,0.2795275590551181,0.5,0.2352941176470588,1,1,1,1,1,1,1.0
1464,0.1666666666666669,0.4418604651162791,0.651710854294131,0.6529051987767585,0.2296395193591455,0.5806451612903225,0.1536144578313253,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0157480314960629,0.75,0.0588235294117647,1,1,1,1,1,1,1.0
13583,0.1666666666666669,0.8449612403100775,0.6974847042828008,0.6192660550458716,0.0987983978638184,0.4193548387096775,0.2479919678714859,0.9193548387096774,0.4333333333333333,0.0,0.3333333333333333,0.0157480314960629,0.5,0.0,4,4,4,4,4,4,4.0
20979,0.8333333333333335,0.5891472868217054,0.6270111035576705,0.680428134556575,0.9786381842456608,0.4516129032258065,0.9176706827309238,0.4032258064516129,0.0666666666666666,0.2480620155038759,0.1999999999999999,0.3543307086614173,0.25,0.3529411764705882,3,4,4,3,3,3,3.0
14965,0.1666666666666669,0.627906976744186,0.6714253342397463,0.6743119266055047,0.7222963951935915,0.5483870967741935,0.9016064257028112,0.6451612903225806,0.4333333333333333,0.0,0.3333333333333333,0.3346456692913386,0.5,0.0588235294117647,4,4,4,4,4,3,4.0
15730,0.3333333333333335,0.2093023255813953,0.4724677090414684,0.5152905198776758,0.157543391188251,0.5161290322580645,0.4136546184738956,0.6774193548387096,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0314960629921259,1.0,0.0588235294117647,1,2,1,1,2,2,2.0
15394,0.3333333333333335,0.5348837209302325,0.5619759800589168,0.7293577981651377,0.4606141522029373,0.5161290322580645,0.8975903614457832,0.5161290322580646,0.0666666666666666,0.3720930232558138,1.0,0.1299212598425196,1.0,0.0588235294117647,2,2,2,2,2,2,2.0
17349,0.3333333333333335,0.4263565891472868,0.4489009743938364,0.591743119266055,0.1148197596795727,0.4838709677419355,0.4016064257028112,0.6612903225806451,0.0666666666666666,0.3720930232558138,1.0,0.1141732283464566,1.0,0.0588235294117647,2,2,2,2,2,2,2.0
9078,0.1666666666666669,0.0542635658914728,0.2025832766825289,0.6529051987767585,0.157543391188251,0.7419354838709675,0.2761044176706827,0.3387096774193548,0.0666666666666666,0.9999999999999998,0.0,0.4763779527559055,0.5,0.0,1,1,1,1,1,1,1.0
11846,0.3333333333333335,0.9069767441860463,0.757761160208475,0.6896024464831805,0.2510013351134846,0.3870967741935485,0.1576305220883534,0.3387096774193548,0.0333333333333333,0.9999999999999998,0.0,0.0118110236220472,1.0,0.0588235294117647,2,1,1,2,2,1,1.0
