timestamp,position lat,position long,heart rate,cadence,distance,fractional cadence,enhanced speed,enhanced altitude,cycle length 16,,
1069685477,-3292491,-936407132,66,0,422256,0,20695,15642,0,7,66
1069685478,-3291589,-936409085,66,0,424261,0,20695,15649,0,7,66
1069685479,-3290334,-936411381,65,0,426698,0,20695,15654,0,12,65
1069685481,-3288112,-936414608,66,0,430347,0,20630,15665,0,12,66
1069685482,-3286711,-936416305,65,0,432396,0,20472,15671,0,12,65
1069685483,-3285217,-936417926,66,0,434445,0,20444,15676,0,12,66
1069685484,-3283622,-936419441,66,0,436490,0,20444,15681,0,12,66
1069685485,-3281929,-936420903,66,0,438570,0,20444,15686,0,12,66
1069685486,-3280181,-936422274,67,0,440634,0,20444,15692,0,7,67
1069685487,-3278300,-936423512,68,0,442725,0,20453,15696,0,7,68
1069685488,-3276299,-936424634,68,0,444855,0,20462,15701,0,7,68
1069685489,-3274250,-936425678,68,0,446989,0,20490,15704,0,7,68
1069685490,-3271976,-936426403,68,0,449193,0,20528,15708,0,7,68
1069685491,-3269674,-936427002,69,0,451397,0,20639,15710,0,2,69
1069685492,-3267310,-936427457,69,0,453626,0,20751,15713,0,2,69
1069685493,-3265052,-936427868,68,0,455754,0,20873,15715,0,2,68
1069685494,-3262350,-936428172,68,0,458273,0,21087,15717,0,2,68
1069685495,-3260094,-936428275,68,0,460367,0,21134,15721,0,2,68
1069685496,-3257837,-936428257,68,0,462458,0,21237,15726,0,2,68
1069685497,-3255612,-936428117,68,0,464525,0,21237,15732,0,2,68
1069685498,-3253841,-936427873,68,0,466182,0,21171,15739,0,2,68
1069685499,-3251242,-936427363,68,0,468637,0,21106,15746,0,2,68
1069685500,-3249111,-936426773,68,0,470687,0,21106,15754,0,2,68
1069685501,-3247027,-936426081,69,0,472723,0,20882,15760,0,7,69
1069685502,-3245009,-936425267,71,0,474742,0,20882,15767,0,7,71
1069685503,-3243036,-936424357,72,0,476758,0,20649,15774,0,7,72
1069685504,-3241506,-936423533,72,0,478371,0,20509,15782,0,7,72
1069685505,-3239298,-936422208,71,0,480761,0,20369,15790,0,7,71
1069685506,-3237547,-936420947,70,0,482766,0,20360,15797,0,7,70
1069685507,-3235828,-936419600,69,0,484795,0,20145,15805,0,7,69
1069685509,-3232740,-936416658,69,0,488761,0,20052,15820,0,7,69
