,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,system_voltage,distance_travelled,engine_load_value,latitude,longitude,altitude,id_vehicle,heart_rate,body_temperature,id_driver,current_weather,has_precipitation,is_day_time,temperature,wind_speed,wind_direction,relative_humidity,visibility,uv_index,cloud_cover,ceiling,pressure,precipitation,accidents_onsite,design_speed,accidents_time
39,15,0.0,901.0,0.0,21.2,103.0,11.6,0.0,23.1,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
40,15,0.0,886.0,0.0,21.2,102.0,11.6,0.0,23.1,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
41,15,0.0,882.0,0.0,20.8,102.0,11.6,0.0,22.7,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
42,15,0.0,893.0,0.0,21.2,102.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
43,15,0.0,895.0,0.0,21.2,102.0,11.6,0.0,23.1,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
44,15,0.0,892.0,0.0,21.2,102.0,11.6,0.0,23.1,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
45,15,0.0,890.0,0.0,21.2,101.0,11.5,0.0,23.1,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
46,15,0.0,893.0,0.0,21.2,101.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
47,15,0.0,896.0,0.0,21.2,101.0,11.6,0.0,23.5,-0.29809,-78.460563,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
48,15,0.0,886.0,0.0,20.8,101.0,11.6,0.0,23.1,-0.29809,-78.460563,2493.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
49,15,0.0,890.0,0.0,21.2,101.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
50,15,0.0,891.0,0.0,21.2,101.0,11.6,0.0,23.1,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
51,15,0.0,886.0,0.0,21.2,101.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
52,15,0.0,888.0,0.0,21.2,101.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
53,15,0.0,894.0,0.0,21.2,101.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
54,15,0.0,886.0,0.0,21.2,101.0,11.6,0.0,23.1,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
55,15,0.0,889.0,0.0,21.2,101.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
56,15,0.0,893.0,0.0,21.2,101.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
58,15,0.0,897.0,0.0,21.2,101.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
59,15,0.0,888.0,0.0,21.2,102.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
60,15,0.0,889.0,0.0,21.2,102.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,76.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
61,15,0.0,890.0,0.0,21.2,102.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,76.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
63,15,0.0,888.0,0.0,21.2,102.0,11.6,0.0,23.5,-0.297953,-78.460449,2486.0,4,76.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
65,15,0.0,889.0,0.0,20.8,102.0,11.5,0.0,23.5,-0.297953,-78.460449,2486.0,4,76.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
67,15,0.0,890.0,0.0,21.2,102.0,11.6,0.0,23.5,-0.29809,-78.460563,2486.0,4,76.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
68,15,0.0,902.0,0.0,21.2,102.0,11.6,0.0,23.5,-0.29809,-78.460563,2493.0,4,72.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
69,15,0.0,890.0,0.0,20.8,102.0,11.6,0.0,23.1,-0.297953,-78.460449,2492.0,4,72.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
70,15,0.0,891.0,0.0,21.2,102.0,11.6,0.0,23.5,-0.297953,-78.460449,2492.0,4,72.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
71,15,0.0,896.0,0.0,21.2,102.0,11.6,0.0,23.5,-0.297953,-78.460449,2492.0,4,68.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
72,15,0.0,888.0,0.0,21.2,102.0,11.6,0.0,23.1,-0.297953,-78.460449,2492.0,4,68.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
73,15,0.0,891.0,0.0,20.4,102.0,11.6,0.0,22.0,-0.297953,-78.460449,2492.0,4,68.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
74,15,0.0,898.0,0.0,20.4,102.0,11.6,0.0,21.6,-0.297953,-78.460449,2492.0,4,68.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
75,15,0.0,882.0,0.0,20.4,102.0,11.6,0.0,21.2,-0.297953,-78.460449,2492.0,4,68.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
76,15,0.0,901.0,0.0,21.2,103.0,11.5,0.0,22.4,-0.297953,-78.460449,2492.0,4,65.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
77,15,0.0,891.0,0.0,20.8,102.0,11.5,0.0,22.7,-0.297953,-78.460449,2492.0,4,65.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
78,15,0.0,895.0,0.0,21.2,103.0,11.6,0.0,23.1,-0.297953,-78.460449,2492.0,4,65.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
79,15,0.0,880.0,0.0,20.8,103.0,11.6,0.0,23.1,-0.297953,-78.460449,2492.0,4,63.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
80,15,0.0,887.0,0.0,20.8,103.0,11.6,0.0,23.1,-0.297953,-78.460449,2492.0,4,63.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
81,15,1.0,902.0,0.23,20.8,103.0,11.6,0.0003,23.9,-0.297953,-78.460449,2492.0,4,63.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
82,15,1.0,889.0,-0.25,20.4,103.0,11.6,0.00010000000000000005,23.5,-0.297953,-78.460449,2492.0,4,63.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
83,15,0.0,893.0,-0.26,20.4,103.0,11.7,0.0,22.4,-0.297953,-78.460449,2492.0,4,63.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
84,15,0.0,881.0,0.0,20.4,103.0,11.6,0.0,21.6,-0.297953,-78.460449,2492.0,4,63.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
85,15,0.0,894.0,0.0,20.8,103.0,11.7,0.0,22.0,-0.297953,-78.460449,2492.0,4,66.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
86,15,0.0,898.0,0.0,20.8,103.0,11.7,0.0,22.7,-0.297953,-78.460452,2492.0,4,66.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
87,15,0.0,902.0,0.0,20.8,103.0,11.6,0.0,22.7,-0.29809,-78.460563,2486.0,4,66.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
88,15,2.0,895.0,0.0,20.8,103.0,11.6,0.00019999999999999993,22.7,-0.29809,-78.460563,2492.0,4,66.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
89,15,2.0,893.0,0.5,20.4,103.0,11.6,0.0006,22.7,-0.297951,-78.460454,2491.0,4,67.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
90,15,3.0,900.0,0.24,20.4,103.0,11.6,0.0008000000000000001,22.4,-0.297956,-78.460458,2491.0,4,67.0,29.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
